Data No.,Time Sec.,Time Min.,Note,Activator 1,% Accurate 1,Activator 2,% Accurate 2,Activator 3,% Accurate 3,Total Score,Status
1,17.2592,00 : 17,2,0,NaN,0,0,0,NaN,0,miss
2,20.03955,00 : 20,2,0,NaN,1,0.5,0,NaN,1,-
3,23.83954,00 : 23,2,0,NaN,2,0.6666667,0,NaN,2,-
4,27.37955,00 : 27,2,0,NaN,3,0.75,0,NaN,3,-
5,30.69954,00 : 30,2,0,NaN,4,0.8,0,NaN,4,-
6,34.31954,00 : 34,1,1,1,4,0.8,0,NaN,5,-
7,38.03954,00 : 38,3,1,1,4,0.8,1,1,6,-
8,41.79954,00 : 41,3,1,1,4,0.8,2,1,7,-
9,45.23954,00 : 45,3,1,1,4,0.8,3,1,8,-
10,48.87954,00 : 48,2,1,1,5,0.8333333,3,1,9,-
11,52.47954,00 : 52,2,1,1,6,0.8571429,3,1,10,-
12,56.27954,00 : 56,3,1,1,6,0.8571429,4,1,11,-
13,59.71954,00 : 59,2,1,1,7,0.875,4,1,12,-
14,63.43954,01 : 03,1,2,1,7,0.875,4,1,13,-
15,67.05954,01 : 07,2,2,1,8,0.8888889,4,1,14,-
16,70.83954,01 : 10,3,2,1,8,0.8888889,5,1,15,-
17,74.31954,01 : 14,1,3,1,8,0.8888889,5,1,16,-
18,77.91954,01 : 17,1,4,1,8,0.8888889,5,1,17,-
19,81.65954,01 : 21,1,5,1,8,0.8888889,5,1,18,-
20,85.31954,01 : 25,1,6,1,8,0.8888889,5,1,19,-
21,88.85954,01 : 28,3,6,1,8,0.8888889,6,1,20,-
22,92.57954,01 : 32,1,7,1,8,0.8888889,6,1,21,-
23,96.17954,01 : 36,2,7,1,9,0.9,6,1,22,-
24,99.87954,01 : 39,3,7,1,9,0.9,7,1,23,-
25,103.4795,01 : 43,2,7,1,10,0.9090909,7,1,24,-
26,107.3395,01 : 47,3,7,1,10,0.9090909,8,1,25,-
27,110.6595,01 : 50,1,8,1,10,0.9090909,8,1,26,-
28,114.2795,01 : 54,2,8,1,11,0.9166667,8,1,27,-
29,118.0795,01 : 58,1,9,1,11,0.9166667,8,1,28,-
30,121.5595,02 : 01,1,10,1,11,0.9166667,8,1,29,-
31,125.2795,02 : 05,1,11,1,11,0.9166667,8,1,30,-
32,129.0995,02 : 09,3,11,1,11,0.9166667,9,1,31,-
33,132.6796,02 : 12,3,11,1,11,0.9166667,10,1,32,-
34,136.0795,02 : 16,1,12,1,11,0.9166667,10,1,33,-
35,140.9436,02 : 20,3,12,1,11,0.9166667,10,0.9090909,33,miss
36,144.2253,02 : 24,2,12,1,11,0.8461539,10,0.9090909,33,miss
37,148.2918,02 : 28,1,12,0.9230769,11,0.8461539,10,0.9090909,33,miss
38,150.6996,02 : 30,2,12,0.9230769,12,0.8571429,10,0.9090909,34,-
39,154.5596,02 : 34,2,12,0.9230769,13,0.8666667,10,0.9090909,35,-
40,159.0835,02 : 39,2,12,0.9230769,13,0.8125,10,0.9090909,35,miss
41,162.7494,02 : 42,3,12,0.9230769,13,0.8125,10,0.8333333,35,miss
42,165.3195,02 : 45,3,12,0.9230769,13,0.8125,11,0.8461539,36,-
43,169.1796,02 : 49,3,12,0.9230769,13,0.8125,12,0.8571429,37,-
44,172.8795,02 : 52,2,12,0.9230769,14,0.8235294,12,0.8571429,38,-
45,177.2422,02 : 57,2,12,0.9230769,14,0.7777778,12,0.8571429,38,miss
46,179.9796,02 : 59,2,12,0.9230769,15,0.7894737,12,0.8571429,39,-
47,184.4729,03 : 04,3,12,0.9230769,15,0.7894737,12,0.8,39,miss
48,187.1395,03 : 07,3,12,0.9230769,15,0.7894737,13,0.8125,40,-

